Study L1 cache size Cortex A7 -- blowfish
CL1_size;nb_cycles;IPC;CPI;IL1_mr;DL1_mr;UL2_mr;bpred_dir_pr;ifq_rate;ifq_full;RUU_rate;RUU_full;LSQ_rate;LSQ_full
16;5138702;0.4890;2.0448;0.1171;0.2446;0.0051;0.9857;0.4895;0.5123;0.4895;0.9328;0.4895;0.0000
32;4979517;0.5047;1.9815;0.1095;0.1698;0.0060;0.9857;0.5053;0.5214;0.5053;0.9265;0.5053;0.0000
64;4323914;0.5812;1.7206;0.0159;0.0310;0.0384;0.9857;0.5818;0.9146;0.5818;0.9799;0.5818;0.0000
128;4208778;0.5971;1.6748;0.0033;0.0066;0.1709;0.9857;0.5974;0.9714;0.5974;0.9902;0.5974;0.0000
256;4192035;0.5995;1.6681;0.0003;0.0037;0.5621;0.9857;0.5997;0.9857;0.5997;0.9924;0.5997;0.0000
Study L1 cache size Cortex A7 -- dijkstra
CL1_size;nb_cycles;IPC;CPI;IL1_mr;DL1_mr;UL2_mr;bpred_dir_pr;ifq_rate;ifq_full;RUU_rate;RUU_full;LSQ_rate;LSQ_full
16;107836959;0.5089;1.9649;0.0417;0.0979;0.0009;0.9904;0.5094;0.8294;0.5094;0.9405;0.5094;0.0000
32;104683707;0.5243;1.9074;0.0321;0.0680;0.0012;0.9904;0.5248;0.8640;0.5248;0.9460;0.5248;0.0000
64;98786025;0.5556;1.8000;0.0185;0.0306;0.0023;0.9904;0.5561;0.9133;0.5561;0.9704;0.5561;0.0000
128;95802453;0.5729;1.7456;0.0076;0.0126;0.0057;0.9904;0.5734;0.9597;0.5734;0.9861;0.5734;0.0000
256;94981187;0.5778;1.7307;0.0029;0.0087;0.0116;0.9904;0.5784;0.9808;0.5784;0.9922;0.5784;0.0000
